image_name,detected_plate_bbox,detected_plate_number,confidence_score, image_path
car10.png,"[508.7475280761719, 342.87005615234375, 708.7259521484375, 407.723388671875]",MH02VD2636,0.9930170725075577,C:\Users\Keerthana\Downloads\carImages\car10.png
car11.jpg,"[105.81853485107422, 847.4402465820312, 289.0126953125, 1011.012939453125]",IB1ES5693,0.12558557542496762,C:\Users\Keerthana\Downloads\carImages\car11.jpg
car12.jpg,"[536.5820922851562, 537.39404296875, 875.716064453125, 638.2293701171875]",TN09CB0456,0.36160988748233736,C:\Users\Keerthana\Downloads\carImages\car12.jpg
car13.jpg,"[152.26502990722656, 750.2852783203125, 678.4824829101562, 977.424560546875]",TN02AD1333,0.9999955217895568,C:\Users\Keerthana\Downloads\carImages\car13.jpg
car13.jpg,"[199.2715301513672, 756.585693359375, 544.7628784179688, 973.9431762695312]",TW62AD1333,0.972343921661377,C:\Users\Keerthana\Downloads\carImages\car13.jpg
car15.jpg,"[105.5975341796875, 661.941650390625, 441.4406433105469, 815.1591186523438]",TN13P6175,0.9999862909317017,C:\Users\Keerthana\Downloads\carImages\car15.jpg
car6.jpg,"[160.21099853515625, 514.353271484375, 383.9052734375, 608.3447265625]",TN13J4023,0.6347592541668656,C:\Users\Keerthana\Downloads\carImages\car6.jpg
car7.jpg,"[986.7081298828125, 306.53399658203125, 1191.8524169921875, 386.6422119140625]",MH20DV2363,0.9593834377990792,C:\Users\Keerthana\Downloads\carImages\car7.jpg
car8.jpg,"[246.03402709960938, 391.21490478515625, 415.1094055175781, 454.4075622558594]",TN69AV7018,0.9114546313672469,C:\Users\Keerthana\Downloads\carImages\car8.jpg
car111.jpg,"[246.03402709960938, 391.21490478515625, 415.1094055175781, 454.4075622558594]",TN69AV7018,0.9114546313672469,C:\Users\Keerthana\Downloads\carImages\car111.jpg
